player,week,position,form,pts_per_match,total_pts,total_bonus,ict_index,tsb_percent,fdr,pts_scored
M.Salah,22,3,11.0,10.6,211,35,277.2,70.3,4,2
Palmer,22,3,7.0,7.8,163,29,230.2,68.9,2,10
Mbeumo,22,3,6.6,6.6,138,20,189.7,32.3,5,2
Isak,22,4,11.0,7.1,135,25,191.3,56.9,3,16
Haaland,22,4,5.0,6.0,125,20,206.2,30.4,2,2
Wood,22,4,6.6,5.9,123,28,115.3,38.5,2,9
Cunha,22,4,4.6,5.6,112,25,165.4,11.6,4,1
Saka,22,3,0.2,6.7,107,16,174.9,9.8,3,0
Watkins,22,4,4.8,4.9,102,16,136.4,16.1,5,8
Iwobi,22,3,4.8,4.9,102,12,158.9,8.3,2,15
N.Jackson,22,4,2.2,5.0,100,15,148.0,19.0,2,4
Amad,22,3,7.0,5.3,100,14,134.0,21.0,3,20
Maddison,22,3,1.8,4.8,100,12,140.6,6.6,3,1
Gordon,22,3,7.6,5.0,99,9,165.8,24.4,3,9
Wissa,22,4,4.4,5.4,97,16,113.6,9.9,5,6
Luis Díaz,22,3,4.8,5.1,97,10,120.8,18.7,4,1
Sels,22,1,6.6,4.6,97,9,51.6,16.3,2,3
Aina,22,2,7.4,4.6,97,15,57.4,27.0,2,2
Rogers,22,3,6.6,4.7,94,11,118.0,22.3,5,6
B.Fernandes,22,3,2.2,4.6,92,14,154.6,10.7,3,4
Son,22,3,2.6,5.0,90,10,139.3,4.9,3,8
Bowen,22,3,3.0,4.7,90,7,158.8,3.0,3,0
Johnson,22,3,3.6,4.2,89,7,120.4,4.4,3,1
Pickford,22,1,4.4,4.4,88,10,57.5,13.8,4,1
Raúl,22,4,5.0,4.2,88,16,114.5,13.4,2,1
Kluivert,22,3,4.2,4.3,86,6,114.4,3.2,4,8
Semenyo,22,3,6.2,4.3,86,6,145.9,6.2,4,12
Alexander-Arnold,22,2,4.6,4.5,85,11,112.1,26.8,4,2
Hall,22,2,6.6,4.0,85,9,97.6,23.7,3,6
Milenković,22,2,5.2,4.2,85,1,62.3,8.2,2,2
Gabriel,22,2,3.0,4.4,84,7,82.5,28.9,3,1
Kulusevski,22,3,3.6,4.0,83,5,168.4,5.9,3,2
Solanke,22,4,4.4,4.6,83,6,113.6,8.8,3,0
Madueke,22,3,1.2,4.3,81,10,128.3,4.5,2,2
Delap,22,4,4.4,4.0,81,12,100.8,3.5,4,1
Strand Larsen,22,4,2.8,3.9,81,8,107.2,2.4,4,2
Raya,22,1,3.2,3.8,80,6,43.8,29.4,3,2
Mitoma,22,3,3.4,3.8,80,8,132.3,5.0,3,10
Murillo,22,2,5.0,4.0,80,11,79.7,3.4,2,3
Evanilson,22,4,2.6,4.1,78,12,101.5,1.4,4,0
Vardy,22,4,2.2,4.1,78,10,91.6,6.2,3,2
Damsgaard,22,3,3.4,3.7,77,6,118.1,1.2,5,2
Virgil,22,2,2.4,3.9,77,3,76.0,22.1,4,2
Saliba,22,2,3.0,3.8,76,6,56.6,28.3,3,2
Kerkez,22,2,5.2,3.6,76,8,85.4,7.6,4,1
João Pedro,22,4,4.6,5.1,76,15,97.3,15.4,3,1
Havertz,22,4,2.8,4.2,75,10,120.2,8.0,3,1
Mateta,22,4,4.4,3.6,75,13,97.7,4.4,2,8
Gvardiol,22,2,2.2,3.8,75,7,112.2,20.3,2,1
Onana,22,1,1.6,3.6,75,5,49.0,7.4,3,3
Elanga,22,3,7.8,3.6,75,6,90.9,5.4,2,7
Martinelli,22,3,4.2,3.9,74,6,110.4,3.9,3,1
I.Sarr,22,3,4.0,3.5,74,6,122.3,4.7,2,6
Robinson,22,2,3.8,3.5,74,5,123.9,26.3,2,7
Bruno G.,22,3,5.0,3.5,74,4,104.2,2.1,3,6
Henderson,22,1,3.6,3.5,73,4,51.3,11.8,2,7
Young,22,2,2.0,4.2,72,8,64.0,3.2,4,2
Savinho,22,3,7.2,4.0,72,12,116.9,5.2,2,5
J.Murphy,22,3,6.0,4.0,72,3,87.7,5.4,3,3
Joelinton,22,3,5.4,3.6,72,11,101.6,1.7,3,3
Gibbs-White,22,3,5.4,4.2,72,10,112.2,4.3,2,1
Schade,22,3,3.0,3.4,71,3,70.8,0.8,5,1
Souček,22,3,3.0,3.7,71,8,87.6,1.7,3,6
Trossard,22,3,4.2,3.3,70,7,93.3,1.7,3,9
Welbeck,22,4,0.2,4.7,70,13,83.9,5.9,3,1
Sánchez,22,1,3.0,3.7,70,7,51.3,12.7,2,1
Guéhi,22,2,4.6,3.5,70,8,80.6,6.0,2,15
Pedro Porro,22,2,1.8,3.3,70,3,118.4,22.8,3,1
Gakpo,22,4,5.2,3.5,69,12,104.4,8.7,4,2
Bernardo,22,3,3.6,3.3,69,7,136.1,3.4,2,2
Enzo,22,3,1.8,3.4,68,5,126.0,6.7,2,2
Muñoz,22,2,3.2,3.4,67,3,107.4,6.1,2,6
J.Timber,22,2,2.6,3.7,66,5,62.8,5.1,3,2
Mitchell,22,2,4.0,3.1,65,3,84.4,2.0,2,6
Eze,22,3,4.6,3.8,65,6,119.8,8.9,2,6
McNeil,22,3,0.0,5.0,65,6,100.5,1.5,4,0
Smith Rowe,22,3,0.8,3.4,65,8,70.0,9.7,2,2
Barnes,22,3,0.8,3.2,65,9,73.1,1.2,3,0
Flekken,22,1,3.0,3.0,64,2,79.2,9.1,5,3
Burn,22,2,5.2,3.2,64,5,50.6,7.8,3,6
Hudson-Odoi,22,3,2.8,3.4,64,3,98.2,1.3,2,2
Thomas,22,3,3.0,3.1,63,5,68.5,0.8,3,2
Collins,22,2,3.0,3.0,63,1,87.6,2.1,5,1
